feature,gain
column.name__Waters ACQUITY UPLC BEH C18,0.0684531223990119
RDKit_NHOHCount,0.05770006260136245
RDKit_MolLogP,0.03761746435928305
RDKit_VSA_EState3,0.028084144287209237
RDKit_MolMR,0.025544120012868727
RDKit_PEOE_VSA12,0.017724612433411318
RDKit_HeavyAtomMolWt,0.016954365619176227
column.usp.code__L1,0.01565680056011725
RDKit_MaxAbsEStateIndex,0.013628316762080456
RDKit_MaxEStateIndex,0.013146553769550462
RDKit_BCUT2D_MWLOW,0.012774086488066846
RDKit_qed,0.009971997543567966
RDKit_NumAmideBonds,0.00957919165950202
RDKit_BertzCT,0.009512387947042554
RDKit_HallKierAlpha,0.008758953877630586
