n,Q2,MAE,RMSE,dataset_id,source
4645,0.8735931891737534,0.30274784599762045,0.4605122299382989,0390,isomeric
4205,0.8243440879330686,0.37276651012005624,0.5425272372721084,0391,isomeric
3700,0.7354468325147824,1.3474596903472336,2.0871723672728906,0186,isomeric
500,0.7790994784300267,1.0870323642253874,1.5744870418433567,0383,isomeric
499,0.7697353905323658,1.0301028645100718,1.5549156142305787,0382,isomeric
485,0.8652688616457485,0.6302549383476836,0.9955738812145335,0230,canonical
455,0.7477649259936596,0.6633254556891683,1.019227416202648,0063,isomeric
374,0.9249299404202049,0.43729938654754763,0.7088956380847468,0392,isomeric
359,0.8459205774572505,0.8175820384859729,1.436150202102944,0263,isomeric
334,0.8527348760024691,0.854243074808918,1.5376547262169378,0262,isomeric
329,0.794905703999599,1.0628889135169401,1.533188609552109,0436,isomeric
288,0.841393738152378,0.21814375721249316,0.46038708008799306,0403,isomeric
270,0.7716875958100058,0.9702160346066512,1.44526217849991,0228,isomeric
257,0.7942722249328213,0.24727128080427832,0.4850862136315493,0402,isomeric
253,0.8823614174224159,0.73397476729197,1.2876115120236977,0048,isomeric
241,0.7762777422959062,1.1887646641038119,1.6164755026007187,0437,isomeric
236,0.9472036483456997,0.4245003378871971,0.9638959750030452,0187,isomeric
235,0.8022742462858142,0.5339465200159943,0.7758155900862554,0264,isomeric
235,0.678459013569664,0.4917181463622094,0.8282428747394949,0401,isomeric
234,0.9617720800591267,0.3276559397244185,0.7682151324909257,0188,isomeric
